lnN lnDN
1.119932369403269590e+01 5.888877958332880524e+00
1.119437172885136000e+01 5.855071922202427004e+00
1.118956094564504511e+01 6.013715156042802157e+00
1.118389348089669966e+01 5.983936280687190745e+00
1.117836140661831656e+01 5.993961427306569334e+00
1.117274235155466577e+01 5.950642552587726897e+00
1.116733175389945387e+01 5.796057750765371885e+00
1.116267271169024511e+01 5.826000107380449933e+00
1.115784924239519249e+01 5.886104031450155816e+00
1.115270137310765008e+01 5.940171252720431561e+00
1.114723860687047718e+01 5.857933154483458971e+00
1.114218057334025147e+01 5.796057750765371885e+00
1.113740258073377021e+01 5.888877958332880524e+00
1.113213345706694746e+01 5.849324779946859287e+00
1.112704237158978593e+01 5.808142489980443912e+00
1.112213219709393286e+01 5.808142489980443912e+00
1.111719779376779549e+01 5.802118375377062875e+00
1.111226877785436962e+01 5.823045895483018874e+00
1.110721032560685551e+01 5.910796644040527070e+00
1.110165855893422737e+01 5.805134968916488170e+00
1.109663699502822709e+01 5.762051382780176922e+00
1.109180342428601662e+01 5.811140992976700836e+00
1.108670137240212128e+01 5.765191102784844368e+00
1.108180403004827852e+01 5.777652323222656428e+00
1.107682072072995183e+01 5.808142489980443912e+00
1.107165699789678648e+01 5.786897381366707727e+00
1.106657586038860330e+01 5.723585101952380683e+00
1.106178284336541218e+01 5.811140992976700836e+00
1.105652489318231169e+01 5.808142489980443912e+00
1.105125501811349231e+01 5.697093486505404591e+00
1.104651537123462290e+01 5.739792912179233930e+00
1.104154488816716650e+01 5.749392985908253095e+00
1.103650126792157060e+01 5.720311776607411858e+00
1.103157773402383590e+01 5.707110264748875395e+00
1.102669488805961784e+01 5.771441123130015782e+00
1.102146119468285690e+01 5.680172609017067664e+00
1.101665999253556727e+01 5.777652323222656428e+00
1.101134034923568805e+01 5.793013608384144142e+00
1.100590924287818595e+01 5.669880922980519600e+00
1.100108265738146862e+01 5.669880922980519600e+00
1.099623266292619128e+01 5.710427017374869685e+00
1.099115685116125185e+01 5.730099782973574030e+00
1.098595352146153381e+01 5.693732138802699794e+00
1.098091025252163355e+01 5.655991810819852361e+00
1.097602961347105399e+01 5.686975356339820209e+00
1.097097030600731671e+01 5.624017506187338533e+00
1.096619628685788328e+01 5.655991810819852361e+00
1.096124312385892985e+01 5.627621113690636889e+00
1.095640488194210782e+01 5.707110264748875395e+00
1.095113982460680724e+01 5.517452896464707379e+00
1.094676329616477162e+01 5.730099782973574030e+00
1.094132312448862621e+01 5.641907070938113833e+00
1.093631610065823523e+01 5.598421958998375025e+00
1.093149853402069027e+01 5.537334267018536593e+00
1.092694516760347767e+01 5.723585101952380683e+00
1.092143193813678259e+01 5.583496308781699113e+00
1.091661457184701689e+01 5.598421958998375025e+00
1.091170091476062076e+01 5.652489180268650770e+00
1.090648794922270426e+01 5.720311776607411858e+00
1.090087889384683173e+01 5.583496308781699113e+00
1.089596124514257092e+01 5.568344503761096576e+00
1.089109378982687737e+01 5.594711379601839063e+00
1.088607151514411520e+01 5.476463551931511020e+00
1.088158808597659721e+01 5.533389488727520344e+00
1.087682002477748000e+01 5.631211781821365392e+00
1.087153547118312069e+01 5.533389488727520344e+00
1.086671912057870237e+01 5.556828061699537358e+00
1.086176440107734287e+01 5.552959584921617342e+00
1.085680428324672953e+01 5.638354669333745406e+00
1.085137384600003330e+01 5.556828061699537358e+00
1.084634231553583383e+01 5.620400865717149586e+00
1.084095251964168938e+01 5.463831805025610500e+00
1.083632070102959410e+01 5.575949103146315977e+00
1.083111379407402808e+01 5.529429087511423369e+00
1.082611814495646207e+01 5.545177444479562290e+00
1.082101751624523445e+01 5.424950017481402931e+00
1.081647282740155624e+01 5.318119993844216076e+00
1.081237091748186074e+01 5.484796933490654780e+00
1.080750325353467112e+01 5.468060141135131502e+00
1.080269316135246882e+01 5.552959584921617342e+00
1.079743042074637493e+01 5.549076084895220085e+00
1.079216039737361044e+01 5.513428746164982464e+00
1.078704845978736415e+01 5.472270673671475016e+00
1.078211795322760658e+01 5.411646051855039552e+00
1.077745516376376145e+01 5.402677381872279305e+00
1.077281245512953767e+01 5.537334267018536593e+00
1.076747395278099440e+01 5.484796933490654780e+00
1.076238219526897488e+01 5.501258210544727412e+00
1.075717921465376037e+01 5.480638923341991209e+00
1.075205603391390241e+01 5.472270673671475016e+00
1.074694949375494168e+01 5.420534999272286214e+00
1.074207616874624627e+01 5.411646051855039552e+00
1.073722242140572014e+01 5.424950017481402931e+00
1.073227951593744578e+01 5.438079308923195576e+00
1.072724624200613519e+01 5.356586274672012316e+00
1.072258433141885092e+01 5.370638028127662444e+00
1.071783414849791782e+01 5.393627546352361968e+00
1.071295002547742214e+01 5.480638923341991209e+00
1.070759454340433159e+01 5.393627546352361968e+00
1.070266002773937686e+01 5.365976015021851175e+00
1.069783661360504112e+01 5.442417710521793239e+00
1.069260378670446521e+01 5.327876168789581257e+00
1.068791407269559812e+01 5.488937726156686736e+00
1.068237655454099233e+01 5.283203728737988492e+00
1.067784598852089673e+01 5.298317366548036311e+00
1.067322533525778638e+01 5.272999558563746803e+00
1.066869954799624054e+01 5.332718793265368795e+00
1.066387273236175126e+01 5.420534999272286214e+00
1.065857613463625597e+01 5.303304908059075728e+00
