lnN lnDN
9.400464740833157862e+00 4.158883083359671495e+00
9.395158808968725239e+00 4.290459441148390951e+00
9.389072159919580329e+00 3.951243718581427533e+00
9.384713758920963045e+00 4.007333185232471173e+00
9.380083146563277907e+00 4.262679877041315457e+00
9.374073563958784661e+00 4.143134726391532574e+00
9.368710707947624172e+00 3.713572066704307950e+00
9.365205082537098491e+00 3.970291913552121965e+00
9.360655132635050890e+00 4.007333185232471173e+00
9.355911495295401892e+00 4.189654742026425183e+00
9.350189267092581247e+00 3.970291913552121965e+00
9.345570321236285949e+00 4.127134385045091669e+00
9.340139809511027735e+00 4.143134726391532574e+00
9.334591334314039202e+00 4.158883083359671495e+00
9.328923087803129732e+00 3.806662489770319624e+00
9.324918276683618501e+00 3.891820298110626464e+00
9.320539164274258326e+00 3.828641396489095072e+00
9.316410635703249454e+00 4.077537443905719705e+00
9.311090275076326250e+00 3.951243718581427533e+00
9.306377560173125119e+00 3.951243718581427533e+00
9.301642530382968843e+00 4.248495242049359355e+00
9.295232838994145652e+00 4.219507705176106960e+00
9.288966692431372962e+00 4.007333185232471173e+00
9.283869605264298386e+00 4.110873864173311354e+00
9.278185918871249882e+00 4.094344562222100414e+00
9.272563715156314501e+00 4.007333185232471173e+00
9.267382112343380385e+00 3.871201010907891149e+00
9.262837940933936309e+00 3.970291913552121965e+00
9.257796313132478971e+00 3.951243718581427533e+00
9.252824983582337737e+00 3.970291913552121965e+00
9.247732491193245252e+00 3.931825632724325725e+00
9.242807562113684483e+00 4.127134385045091669e+00
9.236787541991031247e+00 3.988984046564274522e+00
9.231514607207589762e+00 3.784189633918261020e+00
9.227197489042605838e+00 3.931825632724325725e+00
9.222170123729759084e+00 3.761200115693562385e+00
9.217911637472500530e+00 3.891820298110626464e+00
9.213036733523924937e+00 3.850147601710058431e+00
9.208338369305510085e+00 3.828641396489095072e+00
9.203718495667295940e+00 4.043051267834550266e+00
9.197964100908126994e+00 3.891820298110626464e+00
9.192990733641069667e+00 3.737669618283368411e+00
9.188708071849069015e+00 3.784189633918261020e+00
9.184201714366487579e+00 4.094344562222100414e+00
9.178023770499638800e+00 4.007333185232471173e+00
9.172326929777966598e+00 3.713572066704307950e+00
9.168058979719576840e+00 3.737669618283368411e+00
9.163667963777751169e+00 4.060443010546419096e+00
9.157572306437527843e+00 4.060443010546419096e+00
9.151439264056021372e+00 3.713572066704307950e+00
9.147081032336991768e+00 3.806662489770319624e+00
9.142275641062052927e+00 3.713572066704307950e+00
9.137877200242467524e+00 3.828641396489095072e+00
9.132919225007597674e+00 3.970291913552121965e+00
9.127176130715414004e+00 3.761200115693562385e+00
9.122492281402987402e+00 3.806662489770319624e+00
9.117566971823828581e+00 3.931825632724325725e+00
9.111955470054780903e+00 3.526360524616161563e+00
9.108196898307479472e+00 3.761200115693562385e+00
9.103423089630105380e+00 3.610917912644224348e+00
9.099297073182858853e+00 3.761200115693562385e+00
9.094480485881646814e+00 3.688879454113936252e+00
9.089979015304999521e+00 3.526360524616161563e+00
9.086136768516876572e+00 3.871201010907891149e+00
9.080687163749312063e+00 3.555348061489413514e+00
9.076694687106265036e+00 3.663561646129646299e+00
9.072227069846547920e+00 3.970291913552121965e+00
9.066123521215773806e+00 3.688879454113936252e+00
9.061492275239766414e+00 3.912023005428145961e+00
9.055672891964043458e+00 3.806662489770319624e+00
9.050406334059857727e+00 3.737669618283368411e+00
9.045465728785949011e+00 3.583518938456109915e+00
9.041211408968210961e+00 3.583518938456109915e+00
9.036938912556786718e+00 3.891820298110626464e+00
9.031094081699155396e+00 3.433987204485146272e+00
9.027378610294805483e+00 3.828641396489095072e+00
9.021839764105513026e+00 3.806662489770319624e+00
9.016391478941248039e+00 3.583518938456109915e+00
9.012011377036412085e+00 3.610917912644224348e+00
9.007489523929734787e+00 3.806662489770319624e+00
9.001962272862446213e+00 3.688879454113936252e+00
8.997023381479708704e+00 3.526360524616161563e+00
8.992806059426483145e+00 3.583518938456109915e+00
8.988321188323682875e+00 3.871201010907891149e+00
8.982309899088578575e+00 3.737669618283368411e+00
8.977020214210412519e+00 3.583518938456109915e+00
